43.29,51.29,1,-43.29%,Legal occupations,52052,91780
38.67,46.67,1,-38.67%,Personal financial advisors,52208,85124
37.76,45.76,1,-37.76%,Physicians and surgeons,64792,104104
34.88,42.88,1,-34.88%,"Securities, commodities, and financial services sales agents",45916,70512
33.38,41.38,1,-33.38%,"Natural resources, construction, and maintenance occupations",26468,39728
32.56,40.56,1,-32.56%,Financial managers,58604,86892
32.22,40.22,1,-32.22%,Sales and related occupations,29640,43732
30.56,38.56,1,-30.56%,First-line supervisors of housekeeping and janitorial workers,26000,37440
30.36,38.36,1,-30.36%,Protective service occupations,32084,46072
30.04,38.04,1,-30.04%,First-line supervisors of production and operating workers,34268,48984
30.03,38.03,1,-30.03%,"Sales and related workers, all other",34528,49348
30.01,38.01,1,-30.01%,Chief executives,81744,116792
29.66,37.66,1,-29.66%,Retail salespersons,25532,36296
29.56,37.56,1,-29.56%,Other teachers and instructors,40144,56992
29.51,37.51,1,-29.51%,"Inspectors, testers, sorters, samplers, and weighers",30056,42640
29.4,37.4,1,-29.40%,Production occupations,26104,36972
29.19,37.19,1,-29.19%,Marketing and sales managers,59800,84448
28.85,36.85,1,-28.85%,Human resources managers,67600,95004
28.76,36.76,1,-28.76%,Police and sheriff's patrol officers,38636,54236
27.93,35.93,1,-27.93%,"Production, planning, and expediting clerks",38376,53248
27.6,35.6,1,-27.60%,Bartenders,23868,32968
27.45,35.45,1,-27.45%,Human resources workers,47424,65364
27.23,35.23,1,-27.23%,Recreation and fitness workers,27092,37232
27.22,35.22,1,-27.22%,"Production workers, all other",25584,35152
27.12,35.12,1,-27.12%,"Management, professional, and related occupations",51012,69992
26.85,34.85,1,-26.85%,"Production, transportation, and material moving occupations",26208,35828
26.74,34.74,1,-26.74%,Real estate brokers and sales agents,37752,51532
26.36,34.36,1,-26.36%,"Engineering technicians, except drafters",40820,55432
26.28,34.28,1,-26.28%,Professional and related occupations,49296,66872
26.25,34.25,1,-26.25%,Driver/sales workers and truck drivers,28340,38428
26.22,34.22,1,-26.22%,Insurance sales agents,36296,49192
26.18,34.18,1,-26.18%,Food service managers,30940,41912
25.59,33.59,1,-25.59%,Management analysts,64428,86580
25.42,33.42,1,-25.42%,"Management, business, and financial operations occupations",54912,73632
25.39,33.39,1,-25.39%,Training and development specialists,49660,66560
25.04,33.04,1,-25.04%,Personal care and service occupations,23660,31564
25.04,33.04,1,-25.04%,Business and financial operations occupations,51064,68120
24.97,32.97,1,-24.97%,First-line supervisors of retail sales workers,30940,41236
24.23,32.23,1,-24.23%,Clergy,39676,52364
23.19,31.19,1,-23.19%,Transportation and material moving occupations,26520,34528
23.19,31.19,1,-23.19%,"Business operations specialists, all other",49088,63908
23.15,31.15,1,-23.15%,Janitors and building cleaners,21580,28080
22.98,30.98,1,-22.98%,Credit counselors and loan officers,47580,61776
22.49,30.49,1,-22.49%,Management occupations,58604,75608
22.31,30.31,1,-22.31%,"Sales representatives, services, all other",39832,51272
22.05,30.05,1,-22.05%,"Sales representatives, wholesale and manufacturing",45396,58240
21.74,29.74,1,-21.74%,Healthcare practitioners and technical occupations,51116,65312
21.38,29.38,1,-21.38%,"Education, training, and library occupations",46644,59332
21.26,29.26,1,-21.26%,Medical scientists,59332,75348
21.18,29.18,1,-21.18%,"Office and administrative support workers, all other",35984,45656
21.04,29.04,1,-21.04%,Market research analysts and marketing specialists,52104,65988
21.02,29.02,1,-21.02%,"Metal workers and plastic workers, all other",26572,33644
20.93,28.93,1,-20.93%,Service occupations,23972,30316
20.64,28.64,1,-20.64%,Web developers,51376,64740
20.39,28.39,1,-20.39%,Designers,42224,53040
20.21,28.21,1,-20.21%,Computer support specialists,43524,54548
20.12,28.12,1,-20.12%,Building and grounds cleaning and maintenance occupations,21476,26884
20.06,28.06,1,-20.06%,Miscellaneous assemblers and fabricators,26312,32916
19.17,27.17,1,-19.17%,Accountants and auditors,51948,64272
19.06,27.06,1,-19.06%,Sales and office occupations,32240,39832
18.88,26.88,1,-18.88%,Postsecondary teachers,59436,73268
18.82,26.82,1,-18.82%,Computer and mathematical occupations,60580,74620
18.69,26.69,1,-18.69%,Diagnostic related technologists and technicians,48880,60112
18.62,26.62,1,-18.62%,Education administrators,60892,74828
18.42,26.42,1,-18.42%,"Physical scientists, all other",65624,80444
18.34,26.34,1,-18.34%,"Managers, all other",59956,73424
18.05,26.05,1,-18.05%,Architecture and engineering occupations,60216,73476
18.02,26.02,1,-18.02%,Financial analysts,63648,77636
17.94,25.94,1,-17.94%,"Farming, fishing, and forestry occupations",19500,23764
17.55,25.55,1,-17.55%,"Transportation, storage, and distribution managers",43472,52728
17.49,25.49,1,-17.49%,Dining room and cafeteria attendants and bartender helpers,21840,26468
17.45,25.45,1,-17.45%,"Total, full-time wage and salary workers","$37,388 ","$45,292 "
17.17,25.17,1,-17.17%,Waiters and waitresses,21580,26052
16.98,24.98,1,-16.98%,Postal service mail carriers,44252,53300
16.97,24.97,1,-16.97%,First-line supervisors of office and administrative support workers,39676,47788
16.97,24.97,1,-16.97%,Lawyers,82680,99580
